tenant,job_title,job_url,job_id,location,date_posted,job_description,scraped_at
ally.avature.net,Search jobs,https://ally.avature.net/careers/SearchJobs,,,,,2026-02-08T15:50:52.730593
ally.avature.net,AML Analyst I- Investigations,https://ally.avature.net/careers/JobDetail/Charlotte-NC-AML-Analyst-I-Investigations/15886,15886,,,,2026-02-08T15:50:52.731949
ally.avature.net,Facebook,https://www.facebook.com/dialog/share?app_id=368510694965866&href=https%3A%2F%2Fally.avature.net%2Fcareers%2FJobDetail%2FCharlotte-NC-AML-Analyst-I-Investigations%2F15886&display=popup,368510694965866,,,,2026-02-08T15:50:52.732279
ally.avature.net,"Account Executive, F&I Dealer Products & Services - Greater Nashville, TN Sales Market",https://ally.avature.net/careers/JobDetail/Account-Executive-F-I-Dealer-Products-Services-Greater-Nashville-TN-Sales-Market/15915,15915,Remote,,,2026-02-08T15:50:52.732719
ally.avature.net,Analyst II - Business Analytics,https://ally.avature.net/careers/JobDetail/Analyst-II-Business-Analytics/15920,15920,,,,2026-02-08T15:50:52.732719
ally.avature.net,Business Development Specialist,https://ally.avature.net/careers/JobDetail/Business-Development-Specialist/15939,15939,,,,2026-02-08T15:50:52.732719
ally.avature.net,Director of Fixed Operations Consulting,https://ally.avature.net/careers/JobDetail/Director-Fixed-Operations-Consulting/15864,15864,Remote,,,2026-02-08T15:50:52.732719
ally.avature.net,Consumer Underwriter,https://ally.avature.net/careers/JobDetail/Consumer-Underwriter/15892,15892,Remote,,,2026-02-08T15:50:52.732719
ally.avature.net,Capital Market Funding - Senior Analyst,https://ally.avature.net/careers/JobDetail/Capital-Market-Funding-Senior-Analyst/15582,15582,,,,2026-02-08T15:50:57.965722
ally.avature.net,"Account Executive, Vehicle Remarketing - Greater Bay Area/Northern CA Sales Market",https://ally.avature.net/careers/JobDetail/California-United-States-Account-Executive-Vehicle-Remarketing-Greater-Bay-Area-Northern-CA-Sales-Market/15477,15477,Remote,,,2026-02-08T15:50:57.965722
ally.avature.net,Technology Sourcing Manager - Supply Chain,https://ally.avature.net/careers/JobDetail/Technology-Sourcing-Manager-Supply-Chain/15548,15548,,,,2026-02-08T15:50:57.965722
ally.avature.net,Principal Software Engineer - Ally.ai Platform,https://ally.avature.net/careers/JobDetail/Principal-Software-Engineer-Ally-ai-Platform/15563,15563,,,,2026-02-08T15:50:57.965722
ally.avature.net,"Account Executive, F&I Dealer Products & Services - Greater Rockford/Elgin/Waukegan, IL Sales Market",https://ally.avature.net/careers/JobDetail/Illinois-United-States-Account-Executive-F-I-Dealer-Products-Services-Greater-Rockford-Elgin-Waukegan-IL-Sales-Market/15544,15544,Remote,,,2026-02-08T15:50:57.965722
ally.avature.net,"Account Executive, Auto Finance - Greater Sarasota/Bradenton/Fort Myers, FL Sales Market",https://ally.avature.net/careers/JobDetail/Florida-United-States-Account-Executive-Auto-Finance-Greater-Sarasota-Bradenton-Fort-Myers-FL-Sales-Market/15436,15436,Remote,,,2026-02-08T15:50:57.965722
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Greer-South-Carolina-United-States-Insurance-Agent-Entry-Level/4402,4402,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Charlotte-North-Carolina-United-States-Insurance-Agent-Entry-Level/4403,4403,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Fort-Mill-South-Carolina-United-States-Insurance-Agent-Entry-Level/4404,4404,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Winter-Haven-Florida-United-States-Insurance-Agent-Entry-Level/4405,4405,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Winter-Park-Florida-United-States-Insurance-Agent-Entry-Level/4406,4406,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Sebring-Florida-United-States-Insurance-Agent-Entry-Level/4407,4407,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Kissimmee-Florida-United-States-Insurance-Agent-Entry-Level/4408,4408,,,,2026-02-08T15:50:53.886391
amerilife.avature.net,Insurance Agent - Entry Level,https://amerilife.avature.net/careers/JobDetail/Birmingham-Alabama-United-States-Insurance-Agent-Entry-Level/4409,4409,,,,2026-02-08T15:50:53.886391
